Ref,Company Name,Website,Categories of Products/Services,Corporate Summary (Derived from company materials),AI/ML in Marketing,DHS Prime Contractor,Border Security Expo Exhibitor/Sponsor(2022-2025),Border Technology Summit 2024-2025,Homeland Security Technology Consortium Member,Additional notes,Parent Company/Alternative Name/DBA,"Related Companies (Subsidiaries, Distributors, Strategic Partners, Passthroughs)",Official DHS Programs,Federal Agency Contracts,USASpending.gov Link (DHS),Federal Procurement Data System Link (DHS),Related/Source Links,Related/Source Links.1,Related/Source Links.2
TECH109,Innovative Signal Analysis,https://www.signal-analysis.com/,"RF Signal Processing, Surveillance Cameras","Innovative Signal Analysis, Inc. is a leading provider of real-time signal and image processing systems for the government and remains dedicated to the development of high performance signal processing solutions. ISA works in all phases from concept design, through development and integration, to operations and maintenance of challenging mission critical systems.",,,,Y,,"Products include: Wide Area Video Surveillance System (WAV/XSS), WAV Cloud, WAV Track, WAV Field Response, WAV Detect and Alert",,,,DOD,"No DHS spending data, https://www.usaspending.gov/search/?hash=b4ce25122ccfeb4e453376bbd16785cf","No DHS data, https://www.fpds.gov/ezsearch/fpdsportal?indexName=awardfull&templateName=1.5.3&s=FPDS.GOV&q=Innovative+Signal+Analysis&x=0&y=0",https://www.federalregister.gov/documents/2021/01/28/2021-01890/notice-pursuant-to-the-national-cooperative-research-and-production-act-of-1993-border-security,,
TECH115,JANTEQ,https://www.janteq.com,Video Surveillance SYstems,"Janteq.com: stablished in 2005, Janteq continues its heritage of leading the way with innovation, quality, and support of its customers with next generation specialized wireless communications solutions. Our well-established customers have relied on Janteq to support their most critical requirements while delivering situational awareness for both law enforcement and commercial broadcast entities. Our mission is unchanged and we seek to support each of our customers unique video and data communications needs in both the federal and commercial sectors. We design, manufacture, and support high definition and highly resilient video communications solutions to meet the demands and expectations of all our customers. Janteq is a wholly owned Subsidiary of General Dynamics Mission Systems.",,,Y,Y,,Products include: Ranger2.,General Dynamics,,,"DHS, ICE",https://www.usaspending.gov/search/?hash=42030caca73349f42d5a3408125c4f28,https://www.fpds.gov/ezsearch/search.do?q=Janteq+DEPARTMENT_FULL_NAME%3A%22HOMELAND+SECURITY%2C+DEPARTMENT+OF%22&s=FPDS.GOV&templateName=1.5.3&indexName=awardfull,https://www.documentcloud.org/documents/24403003-2024-02-04-09-38-1?responsive=1&title=1,,
TECH122,"L3Harris Technologies, Inc.",https://www.l3harris.com/,"Wide-Ranging Defense, Surveillance, and IT Products/Services",L3Harris.com: At L3Harris we anticipate and mitigate risk with end-to-end solutions that meet our customers’ mission-critical needs across all domains.,Y,Y,Y,Y,,"Formerly ""L-3 Communications holdings, Merged with Harris. Connected to Lockheed and others. Products include: Nighthawk EO/IR system, WESCAM MX series, .",,"Aerojet Rocketdyne, L3 WESCAM, Azimuth Security, Linchpin Labs,",,"DHS, CBP, DOD, DOS",https://www.usaspending.gov/search/?hash=082654ea7502e0d2f1eb7cf5c131efa0,https://www.fpds.gov/ezsearch/search.do?&q=L3+DEPARTMENT_FULL_NAME%3A%22HOMELAND+SECURITY%2C+DEPARTMENT+OF%22+CONTRACTING_AGENCY_NAME%3A%22U.S.+CUSTOMS+AND+BORDER+PROTECTION%22&s=FPDS.GOV&templateName=1.5.3&indexName=awardfull&start=0,https://www.l3harris.com/sites/default/files/2024-02/L3Harris-2023-Annual-Report--.pdf,https://www.l3harris.com/all-capabilities/nighthawk-eoir-surveillance-system,
TECH124,Leidos,https://www.leidos.com/markets/homeland,"Wide-Ranging Defense, Surveillance, and IT Products/Services, Biometrics","Leidos.com: We understand the active role that IT plays in protecting the homeland, responding to threats and disasters, enforcing and administering our laws, safeguarding cyberspace, and securing our borders. That’s why we integrate, apply and advance IT and supporting services to tackle the challenges we face today and establish a purposeful roadmap for the challenges still to be uncovered, tomorrow. See how we are helping the Department of Homeland Security and national agencies across the world achieve program objectives, on time and on budget.",Y,Y,,Y,,,,"1901 Group Llc, Aranea Solutions Inc., Dynetics, Gibbs & Cox Inc., L3, Leidos, Mission Support Alliance Llc., Qtc, Reveal Imaging Technologies Inc., SAIC, Systems Made Simple Inc., Sytex Inc.",,"DOD, DHS, DOS, CBP, and others",https://www.usaspending.gov/search/?hash=709f10c2570cd6b799e920eacfd6b0de,https://www.fpds.gov/ezsearch/fpdsportal?q=Leidos+DEPARTMENT_FULL_NAME%3A%22HOMELAND+SECURITY%2C+DEPARTMENT+OF%22+CONTRACTING_AGENCY_NAME%3A%22U.S.+CUSTOMS+AND+BORDER+PROTECTION%22&s=FPDS.GOV&templateName=1.5.3&indexName=awardfull&x=0&y=0,https://investigate.afsc.org/company/leidos-holdings,,
TECH129,Lockheed Martin,https://www.lockheedmartin.com/en-us/capabilities/c4isr.html,"Wide-Ranging Defense, Surveillance, and IT Products/Services","Lockheedmartin.com: Lockheed Martin’s C4ISR technologies bring clarity to global complexity. We’re developing the technologies and infrastructure to detect and act with speed, precision and confidence. Discover how we’re using advanced C4ISR solutions to turn abstract data into operational decidedness",Y,,Y,Y,,,Lockheed Martin Corporation,"Sikorsky Aircraft Corporation, Lockheed Martin Services, Lockheed Martin Coherent Technologies, Zeta Associates, Lockheed Martin Aeronautical Systems Support Company",,"DOD, DHS",https://www.usaspending.gov/search/?hash=cdba6d5ff7d66a21231b937c3ad8f6d1,https://www.fpds.gov/ezsearch/fpdsportal?q=Lockheed+Martin+DEPARTMENT_FULL_NAME%3A%22HOMELAND+SECURITY%2C+DEPARTMENT+OF%22&s=FPDS.GOV&templateName=1.5.3&indexName=awardfull&x=0&y=0,https://www.tni.org/files/publication-downloads/bidens-border-briefing-tni-feb14.pdf,https://investigate.afsc.org/company/lockheed-martin,
TECH145,Northrup Grumman,https://www.northropgrumman.com/,"Wide-Ranging Defense, Surveillance, and IT Products/Services","Northropgrumman.com: At Northrop Grumman we define possible by pioneering technologies at the edge of every frontier and creating revolutionary technology to connect, advance and protect the U.S. and its allies.",Y,Y,,Y,,,Northrop Gruman,"Northrop Grumman Information Technology Inc., Northrop Grumman Enterprise Management Services Corporation, Northrop Grumman Systems Corporation, Northrop Grumman Security Systems LLC",,"DHS, DOD, SSA, GSA",https://www.usaspending.gov/search/?hash=d74b76c2e2eee1e0fb7efa52340fcf63,https://www.fpds.gov/ezsearch/fpdsportal?q=Northrop+Grumman+DEPARTMENT_FULL_NAME%3A%22HOMELAND+SECURITY%2C+DEPARTMENT+OF%22&s=FPDS.GOV&templateName=1.5.3&indexName=awardfull&x=0&y=0,https://www.tni.org/files/publication-downloads/bidens-border-briefing-tni-feb14.pdf,,
TECH155,Parsons Corporation,https://www.parsons.com/,"Wide-Ranging Defense, Surveillance, and IT Products/Services, Unmanned Aerial Systems (UAS)",Parsons.com: Harnessing the potential of artificial intelligence (AI) to transform the way government and commercial industries operate and innovate. We operate an industry-leading aviation-based sUAS program. Our pilots are Federal Aviation Administration (FAA) and Transport Canada–certified and trained by experienced instructor-pilots who oversee mission training and qualifications for our staff.,Y,,Y,Y,Y,"Products include: ""Intellisight"" hemoglobin filter.",,"Parsons Government Services Inc., Williams Electric, Polaris Alpha, OG Systems, QRC Technologies, Polaris Alpha Advanced Systems, Braxton Science & Technology Group, Blackhorse Solutions, Echo Ridge LLC, Xator Corporation, IPKeys Power Partners And IPKeys Cyber Partners, Sealing Technologies, Inc.",,DHS,https://www.usaspending.gov/search/?hash=1c7e625834a4c329523acfa114e5184b,https://www.fpds.gov/ezsearch/search.do?q=Parsons+DEPARTMENT_FULL_NAME%3A%22HOMELAND+SECURITY%2C+DEPARTMENT+OF%22&s=FPDS.GOV&templateName=1.5.3&indexName=awardfull,https://www.marketscreener.com/quote/stock/PARSONS-CORPORATION-57878457/news/Parsons-Selects-ISC-For-Next-Generation-Imaging-Unattended-Ground-Sensors-36469844/,https://www.federalcompass.com/award-contract-detail/70B06C22D00000005,
TECH159,Peraton,https://www.peraton.com/missions/homeland-security/,"Aerostats, Wide-Ranging Defense, Surveillance, and IT Products/Services","Peraton.com: For more than a decade, Peraton has been on the border developing and maintaining advanced systems and technologies to give our nation’s border protection agents the critical communications infrastructure they need to protect our borders.",Y,Y,Y,Y,,"Products include: Tethered Aerostats, Data processing.",,"Perspecta Inc., Peraton Labs, Strategic Resources International, Inc., Solers, Inc., ViON Corporation, Veritas Capital",Tethered Aerostat Radar System (TARS),"CBP, DHS, DOS, DOD",https://www.usaspending.gov/search/?hash=6e515251fd39fbd776c89417d370300a,https://www.fpds.gov/ezsearch/search.do?q=Peraton+DEPARTMENT_FULL_NAME%3A%22HOMELAND+SECURITY%2C+DEPARTMENT+OF%22+CONTRACTING_AGENCY_NAME%3A%22U.S.+CUSTOMS+AND+BORDER+PROTECTION%22+VENDOR_FULL_NAME%3A%22PERATON+INC.%22&s=FPDS.GOV&templateName=1.5.3&indexName=awardfull&sortBy=PRINCIPAL_NAICS_CODE&desc=Y,https://www.peraton.com/news/peraton-awarded-tethered-aerostat-radar-system-program-recompete-worth-up-to-277-5m/,https://www.fpds.gov/ezsearch/search.do?q=QinetiQ+CONTRACTING_AGENCY_NAME%3A%22U.S.+CUSTOMS+AND+BORDER+PROTECTION%22+VENDOR_FULL_NAME%3A%22PERATON+SERVICES+%26+SOLUTIONS+INC.%22&s=FPDS.GOV&templateName=1.5.3&indexName=awardfull,https://investigate.afsc.org/company/peraton
TECH170,Rohde and Schwarz USA,https://www.rohde-schwarz.com/us/solutions/aerospace-defense-security/security/overview/border-and-perimeter-surveillance-overview_110946.html,"Wide-Ranging Defense, Surveillance, and IT Products/Services, RF Sensors","Rohde-schwarz.com: The diverse nature of border defense is matched by an equally diverse array of threats ranging from terrorists to drug smugglers, arms dealers and human traffickers. Conventionally borders are monitored and protected by using traditional measures such as mobile patrol units, video cameras and physical barriers. Due to the increasing number of unlawful cross-border activities and criminal organizations today, additional systems for monitoring wireless communications have become necessary.",Y,,Y,Y,,"Products include: R&S CEPTOR, R&S UM400, radio frequency passive monitoring systems, SOLVERON radio family, OIR sensors.",,Rohde and Schwarz Ltd.,,"DHS, CBP, DOD, and others",https://www.usaspending.gov/search/?hash=499cc07e711a651bc92717cafc6e192b,https://www.fpds.gov/ezsearch/fpdsportal?q=Rohde+%26+Schwarz+DEPARTMENT_FULL_NAME%3A%22HOMELAND+SECURITY%2C+DEPARTMENT+OF%22+CONTRACTING_AGENCY_NAME%3A%22U.S.+CUSTOMS+AND+BORDER+PROTECTION%22&s=FPDS.GOV&templateName=1.5.3&indexName=awardfull&x=0&y=0,https://scdn.rohde-schwarz.com/ur/pws/dl_downloads/pdm/cl_brochures_and_datasheets/fact_sheet/5216_3895_32/Border-protection-with-CEPTOR_cs_en_5216-3895-32_v0100.pdf,,
TECH174,SAIC,https://www.saic.com/,"Counter-UAS (C-UAS), Automated License Plate Readers (ALPR), Biometric Testing and Evaluation, Wide-Ranging Defense, Surveillance, and IT Products/Services","Saic.com: SAIC® is a premier Fortune 500® technology integrator focused on advancing the power of technology and innovation to serve and protect our world. Our robust portfolio of offerings across the defense, space, civilian and intelligence markets includes secure high-end solutions in mission IT, enterprise IT, engineering services and professional services. We integrate emerging technology, rapidly and securely, into mission critical operations that modernize and enable critical national imperatives.",Y,Y,Y,Y,,,Leidos Holdings,"Scitor Holdings, Inc., Engility, Unisys, Halfaker and Associates. Science Applications International Corporation (SAIC Canada), Apogee-SAIC Capabilities Integrator LLC.",ALPR Modernization,"DHS, DOD",https://www.usaspending.gov/search/?hash=075ba8575ba0c9b3fb619d8368f3d516,https://www.fpds.gov/ezsearch/fpdsportal?indexName=awardfull&templateName=1.5.3&s=FPDS.GOV&q=SAIC+DEPARTMENT_FULL_NAME%3A%22HOMELAND+SECURITY%2C+DEPARTMENT+OF%22&x=0&y=0,https://www.saic.com/features/CBP-modernizes-license-plate-recognition-with-saic-expertise,https://www.saic.com/features/biometrics-facial-iris-recognition-protect-nations-airports,https://investigate.afsc.org/company/leidos-holdings
TECH194,"SOS International, LLC",https://www.sosi.com/,"IT Services, Cybersecurity, Intelligence Services","Sosi.com: SOSi provides cleared ISR engineers and operators to identify, evaluate, test, modernize, and rapidly field new ISR systems, technologies, and programs to U.S. and Allied militaries and governments around the globe. Our ISR experts perform requirements analysis and systems engineering/integration tasks at the theater and national levels; assist with exercise support and system test designs; and maintain and modify Command, Control, Communications, Computers, Intelligence, Surveillance and Reconnaissance (C4ISR) systems.",Y,,Y,Y,,,"SOS International Ltd., SOSi",,,"DHS, DOD, GSA, DOJ",https://www.usaspending.gov/search/?hash=19a5e2fcb7319b8685206d28783e3ff8,https://www.fpds.gov/ezsearch/fpdsportal?q=SOS+International+DEPARTMENT_FULL_NAME%3A%22HOMELAND+SECURITY%2C+DEPARTMENT+OF%22&s=FPDS.GOV&templateName=1.5.3&indexName=awardfull&x=0&y=0,https://www.govconwire.com/2018/08/ice-vet-peter-edge-named-sosi-vp-for-corporate-security-julian-setian-comments/,https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.sosi.com/refugee-emergency-operations/, 
TECH200,Strix Drones,https://www.strixdrones.com/use-cases/defense/,Unmanned Aerial Systems (UAS),"Strixdrones.com: Strix systems provide forces with versatile capabilities designed for remote surveillance and monitoring, along with seamless integration into existing command and control systems for enhanced security applications. The Strix family of systems offers secure storage and charging for UAS, alongside options for data offload and storage, empowering your security operations with unparalleled efficiency and effectiveness. Protect your borders and bases with confidence using Strix solutions.",Y,,Y,Y,,Products include: STRIX-DF.,Strix Drones (Israel),StrixDrones USA,,No data,No data,No data,https://spectrumnews1.com/oh/dayton/news/2023/07/27/israeli-company-launches-drone-airport-manufacturing-in-dayton#,,
TECH201,Strongwatch,https://strongwatch.com/,Mobile Surveillance Towers,"Stongwatch.com: Freedom Surveillance, LLC dba Strongwatch develops and sells innovative, integrated imaging systems for detection and surveillance. Our rugged, reliable and easy to use mobile ""On-The-Move"" systems are being deployed for border security, law enforcement and mission intelligence. Additionally, our fixed solutions, which leverage our patented Human Detection and Tracking, solve the need for effective and affordable round-the-clock protection of wide-area critical infrastructure.",,,Y,Y,,"Products include: Strongwatch MVSS, Human Detection, thermal imaging. .",,Freedom Surveillance LLC dba Strongwatch,Mobile Video Surveillance Systems (MVSS),DOT,DOT contract for Strongwatch operator training: https://www.usaspending.gov/search/?hash=1a3926cd9da77416e57299ca2dd05c2d,https://www.fpds.gov/ezsearch/fpdsportal?q=Freedom+Surveillance++ULTIMATE_UEI_NAME%3A%22FREEDOM+SURVEILLANCE++LLC%22&s=FPDS.GOV&templateName=1.5.3&indexName=awardfull&x=0&y=0,https://www.insidetucsonbusiness.com/news/the_next_generation/strongwatch-surveillance-system-gives-police-military-situational-awareness/article_08ee2e40-4a30-11e2-b033-001a4bcf887a.html,,
TECH205,Teledyne FLIR,https://www.flir.com/surveillance/border-surveillance/,"Mobile Surveillance Capabilties (MSCs), Lightweigh Vehicle Surveillance Systems (LVSS), Thermal Imaging, Mobile Surveillance Towers","Flir.com: Border security and surveillance is a 24/7 operation that can’t afford downtime or periods of reduced readiness. Guarding against illegal immigration, smuggling, and terrorism demands reliable long-range threat detection and positive identification of potential threats all day, all night, and in all conditions.
Whether your primary targets are small boats on the water, or people crossing borders on foot, Teledyne FLIR’s high performance cameras and radars can give you the early warning and threat assessment you need to respond efficiently and effectively. With industry standard interfaces, Teledyne FLIR components are easy to integrate with the command and control solution you desire to create the rapid deployment solution you need.",Y,,Y,Y,Y (Via Flir),"Products include: Cameras, Imaging, Radar, CBRNE detection, MVSS. Teledyne acquired FLIR in 2021.",,,"Mobile Surveillance Capability (MSC), Low Altitude Autonomous Safety and Situational Awareness for Officers (LASO) , Lightweight Video Surveillance System (LVSS)/Mobile Surveillance Capability Lite (MSC-LITE)","DHS, CBP",https://www.usaspending.gov/search/?hash=a24475ba4daa144f9175938cd59e0b81,"https://www.fpds.gov/ezsearch/fpdsportal?q=%22mobile+surveillance+capability%22+CONTRACTING_AGENCY_NAME%3A%22U.S.+CUSTOMS+AND+BORDER+PROTECTION%22+VENDOR_FULL_NAME%3A%22FLIR+INTEGRATED+SYSTEMS%2C+INC.%22&s=FPDS.GOV&templateName=1.5.3&indexName=awardfull&x=0&y=0 , https://www.fpds.gov/ezsearch/fpdsportal?indexName=awardfull&templateName=1.5.3&s=FPDS.GOV&q=%22lightweight+vehicle+surveillance+system%22&x=0&y=0",https://verticalmag.com/news/flir-systems-completes-acquisition-of-icx-technologies-for-268-million-html/,https://www.flir.com/news-center/military/flir-wins-awards-worth-up-to-$23m-from-us-customs-and-border-protection-for-improved-ground-and-air-surveillance-capabilities/,https://investigate.afsc.org/company/teledyne-technologies
